Epoch: 6, Train Loss: 0.063, Train Acc: 0.980
Epoch: 6, Valid Loss: 0.063, Valid Acc: 0.981
Epoch: 7, Train Loss: 0.058, Train Acc: 0.983
Epoch: 7, Valid Loss: 0.063, Valid Acc: 0.981
Epoch: 8, Train Loss: 0.056, Train Acc: 0.983
Epoch: 8, Valid Loss: 0.054, Valid Acc: 0.984
Epoch: 9, Train Loss: 0.051, Train Acc: 0.984
Epoch: 9, Valid Loss: 0.060, Valid Acc: 0.981
Epoch: 10, Train Loss: 0.051, Train Acc: 0.984
Epoch: 10, Valid Loss: 0.066, Valid Acc: 0.982
Epoch: 11, Train Loss: 0.051, Train Acc: 0.985
Epoch: 11, Valid Loss: 0.064, Valid Acc: 0.980
Epoch: 12, Train Loss: 0.048, Train Acc: 0.986
Epoch: 12, Valid Loss: 0.052, Valid Acc: 0.986
Epoch: 13, Train Loss: 0.046, Train Acc: 0.985
Epoch: 13, Valid Loss: 0.065, Valid Acc: 0.980
Epoch: 14, Train Loss: 0.047, Train Acc: 0.985
Epoch: 14, Valid Loss: 0.055, Valid Acc: 0.984
Epoch: 15, Train Loss: 0.045, Train Acc: 0.986
Epoch: 15, Valid Loss: 0.056, Valid Acc: 0.984
Epoch: 16, Train Loss: 0.043, Train Acc: 0.986
Epoch: 16, Valid Loss: 0.050, Valid Acc: 0.986
Epoch: 17, Train Loss: 0.042, Train Acc: 0.987
Epoch: 17, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 18, Train Loss: 0.040, Train Acc: 0.988
Epoch: 18, Valid Loss: 0.049, Valid Acc: 0.985
Epoch: 19, Train Loss: 0.040, Train Acc: 0.988
Epoch: 19, Valid Loss: 0.048, Valid Acc: 0.986
Epoch: 20, Train Loss: 0.037, Train Acc: 0.989
Epoch: 20, Valid Loss: 0.048, Valid Acc: 0.985
valid acc:  0.9852
Run Params: {'lr': 0.0068, 'batch_size': 1037}
Epoch: 1, Train Loss: 0.464, Train Acc: 0.858
Epoch: 1, Valid Loss: 0.133, Valid Acc: 0.960
Epoch: 2, Train Loss: 0.112, Train Acc: 0.966
Epoch: 2, Valid Loss: 0.088, Valid Acc: 0.975
Epoch: 3, Train Loss: 0.088, Train Acc: 0.973
Epoch: 3, Valid Loss: 0.072, Valid Acc: 0.977
Epoch: 4, Train Loss: 0.075, Train Acc: 0.977
Epoch: 4, Valid Loss: 0.064, Valid Acc: 0.980
Epoch: 5, Train Loss: 0.068, Train Acc: 0.979
Epoch: 5, Valid Loss: 0.062, Valid Acc: 0.981
Epoch: 6, Train Loss: 0.061, Train Acc: 0.980
Epoch: 6, Valid Loss: 0.064, Valid Acc: 0.980
Epoch: 7, Train Loss: 0.061, Train Acc: 0.981
Epoch: 7, Valid Loss: 0.063, Valid Acc: 0.982
Epoch: 8, Train Loss: 0.053, Train Acc: 0.983
Epoch: 8, Valid Loss: 0.067, Valid Acc: 0.980
Epoch: 9, Train Loss: 0.054, Train Acc: 0.983
Epoch: 9, Valid Loss: 0.054, Valid Acc: 0.983
Epoch: 10, Train Loss: 0.052, Train Acc: 0.983
Epoch: 10, Valid Loss: 0.055, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.047, Train Acc: 0.985
Epoch: 11, Valid Loss: 0.061, Valid Acc: 0.984
Epoch: 12, Train Loss: 0.047, Train Acc: 0.985
Epoch: 12, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 13, Train Loss: 0.043, Train Acc: 0.986
Epoch: 13, Valid Loss: 0.053, Valid Acc: 0.985
Epoch: 14, Train Loss: 0.044, Train Acc: 0.986
Epoch: 14, Valid Loss: 0.052, Valid Acc: 0.984
Epoch: 15, Train Loss: 0.043, Train Acc: 0.986
Epoch: 15, Valid Loss: 0.051, Valid Acc: 0.986
Epoch: 16, Train Loss: 0.043, Train Acc: 0.986
Epoch: 16, Valid Loss: 0.046, Valid Acc: 0.985
Epoch: 17, Train Loss: 0.039, Train Acc: 0.987
Epoch: 17, Valid Loss: 0.054, Valid Acc: 0.985
Epoch: 18, Train Loss: 0.040, Train Acc: 0.987
Epoch: 18, Valid Loss: 0.056, Valid Acc: 0.983
Epoch: 19, Train Loss: 0.040, Train Acc: 0.987
Epoch: 19, Valid Loss: 0.052, Valid Acc: 0.985
Epoch: 20, Train Loss: 0.037, Train Acc: 0.988
Epoch: 20, Valid Loss: 0.051, Valid Acc: 0.987
valid acc:  0.9874
Run Params: {'lr': 0.846636, 'batch_size': 883}
Epoch: 1, Train Loss: 741.317, Train Acc: 0.103
Epoch: 1, Valid Loss: 2.444, Valid Acc: 0.098
Epoch: 2, Train Loss: 2.312, Train Acc: 0.106
Epoch: 2, Valid Loss: 2.445, Valid Acc: 0.114
Epoch: 3, Train Loss: 2.310, Train Acc: 0.104
Epoch: 3, Valid Loss: 2.445, Valid Acc: 0.103
valid acc:  0.1028
Run Params: {'lr': 0.565117, 'batch_size': 743}
Epoch: 1, Train Loss: 241.855, Train Acc: 0.106
Epoch: 1, Valid Loss: 2.400, Valid Acc: 0.098
Epoch: 2, Train Loss: 2.313, Train Acc: 0.105
Epoch: 2, Valid Loss: 2.401, Valid Acc: 0.103
Epoch: 3, Train Loss: 2.315, Train Acc: 0.106
Epoch: 3, Valid Loss: 2.401, Valid Acc: 0.103
valid acc:  0.1028
Run Params: {'lr': 0.008162, 'batch_size': 1146}
Epoch: 1, Train Loss: 0.564, Train Acc: 0.821
Epoch: 1, Valid Loss: 0.157, Valid Acc: 0.954
Epoch: 2, Train Loss: 0.135, Train Acc: 0.959
Epoch: 2, Valid Loss: 0.098, Valid Acc: 0.970
Epoch: 3, Train Loss: 0.105, Train Acc: 0.969
Epoch: 3, Valid Loss: 0.090, Valid Acc: 0.974
Epoch: 4, Train Loss: 0.089, Train Acc: 0.973
Epoch: 4, Valid Loss: 0.083, Valid Acc: 0.973
Epoch: 5, Train Loss: 0.080, Train Acc: 0.976
Epoch: 5, Valid Loss: 0.072, Valid Acc: 0.977
Epoch: 6, Train Loss: 0.077, Train Acc: 0.976
Epoch: 6, Valid Loss: 0.067, Valid Acc: 0.979
Epoch: 7, Train Loss: 0.074, Train Acc: 0.978
Epoch: 7, Valid Loss: 0.077, Valid Acc: 0.977
Epoch: 8, Train Loss: 0.070, Train Acc: 0.979
Epoch: 8, Valid Loss: 0.064, Valid Acc: 0.979
Epoch: 9, Train Loss: 0.066, Train Acc: 0.980
Epoch: 9, Valid Loss: 0.065, Valid Acc: 0.981
Epoch: 10, Train Loss: 0.062, Train Acc: 0.980
Epoch: 10, Valid Loss: 0.067, Valid Acc: 0.980
Epoch: 11, Train Loss: 0.061, Train Acc: 0.981
Epoch: 11, Valid Loss: 0.062, Valid Acc: 0.982
Epoch: 12, Train Loss: 0.061, Train Acc: 0.981
Epoch: 12, Valid Loss: 0.070, Valid Acc: 0.979
Epoch: 13, Train Loss: 0.060, Train Acc: 0.982
Epoch: 13, Valid Loss: 0.060, Valid Acc: 0.982
Epoch: 14, Train Loss: 0.061, Train Acc: 0.982
Epoch: 14, Valid Loss: 0.066, Valid Acc: 0.981
Epoch: 15, Train Loss: 0.061, Train Acc: 0.981
Epoch: 15, Valid Loss: 0.060, Valid Acc: 0.981
Epoch: 16, Train Loss: 0.059, Train Acc: 0.982
Epoch: 16, Valid Loss: 0.060, Valid Acc: 0.983
Epoch: 17, Train Loss: 0.054, Train Acc: 0.983
Epoch: 17, Valid Loss: 0.059, Valid Acc: 0.983
Epoch: 18, Train Loss: 0.051, Train Acc: 0.984
Epoch: 18, Valid Loss: 0.067, Valid Acc: 0.980
Epoch: 19, Train Loss: 0.053, Train Acc: 0.983
Epoch: 19, Valid Loss: 0.067, Valid Acc: 0.982
Epoch: 20, Train Loss: 0.054, Train Acc: 0.983
Epoch: 20, Valid Loss: 0.056, Valid Acc: 0.984
valid acc:  0.984
Run Params: {'lr': 0.000762, 'batch_size': 1268}
Epoch: 1, Train Loss: 0.911, Train Acc: 0.737
Epoch: 1, Valid Loss: 0.310, Valid Acc: 0.912
