Epoch: 12, Valid Loss: 0.046, Valid Acc: 0.986
Epoch: 13, Train Loss: 0.037, Train Acc: 0.988
Epoch: 13, Valid Loss: 0.038, Valid Acc: 0.987
Epoch: 14, Train Loss: 0.035, Train Acc: 0.989
Epoch: 14, Valid Loss: 0.044, Valid Acc: 0.985
Epoch: 15, Train Loss: 0.033, Train Acc: 0.990
Epoch: 15, Valid Loss: 0.045, Valid Acc: 0.987
Epoch: 16, Train Loss: 0.032, Train Acc: 0.990
Epoch: 16, Valid Loss: 0.039, Valid Acc: 0.988
Epoch: 17, Train Loss: 0.031, Train Acc: 0.990
Epoch: 17, Valid Loss: 0.037, Valid Acc: 0.989
Epoch: 18, Train Loss: 0.031, Train Acc: 0.990
Epoch: 18, Valid Loss: 0.044, Valid Acc: 0.987
Epoch: 19, Train Loss: 0.029, Train Acc: 0.991
Epoch: 19, Valid Loss: 0.044, Valid Acc: 0.987
Epoch: 20, Train Loss: 0.029, Train Acc: 0.991
Epoch: 20, Valid Loss: 0.038, Valid Acc: 0.988
valid acc:  0.9883
Run Params: {'lr': 0.098548, 'batch_size': 637}
Epoch: 1, Train Loss: 5.993, Train Acc: 0.112
Epoch: 1, Valid Loss: 2.346, Valid Acc: 0.103
Epoch: 2, Train Loss: 2.322, Train Acc: 0.110
Epoch: 2, Valid Loss: 2.346, Valid Acc: 0.114
Epoch: 3, Train Loss: 2.323, Train Acc: 0.108
Epoch: 3, Valid Loss: 2.348, Valid Acc: 0.103
valid acc:  0.1028
Run Params: {'lr': 0.005344, 'batch_size': 722}
Epoch: 1, Train Loss: 0.285, Train Acc: 0.910
Epoch: 1, Valid Loss: 0.080, Valid Acc: 0.976
Epoch: 2, Train Loss: 0.075, Train Acc: 0.977
Epoch: 2, Valid Loss: 0.063, Valid Acc: 0.981
Epoch: 3, Train Loss: 0.065, Train Acc: 0.980
Epoch: 3, Valid Loss: 0.055, Valid Acc: 0.982
Epoch: 4, Train Loss: 0.052, Train Acc: 0.984
Epoch: 4, Valid Loss: 0.049, Valid Acc: 0.985
Epoch: 5, Train Loss: 0.048, Train Acc: 0.985
Epoch: 5, Valid Loss: 0.050, Valid Acc: 0.984
Epoch: 6, Train Loss: 0.045, Train Acc: 0.986
Epoch: 6, Valid Loss: 0.050, Valid Acc: 0.984
Epoch: 7, Train Loss: 0.042, Train Acc: 0.987
Epoch: 7, Valid Loss: 0.047, Valid Acc: 0.984
Epoch: 8, Train Loss: 0.040, Train Acc: 0.987
Epoch: 8, Valid Loss: 0.044, Valid Acc: 0.986
Epoch: 9, Train Loss: 0.037, Train Acc: 0.989
Epoch: 9, Valid Loss: 0.043, Valid Acc: 0.987
Epoch: 10, Train Loss: 0.035, Train Acc: 0.989
Epoch: 10, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.037, Train Acc: 0.988
Epoch: 11, Valid Loss: 0.047, Valid Acc: 0.985
Epoch: 12, Train Loss: 0.032, Train Acc: 0.990
Epoch: 12, Valid Loss: 0.050, Valid Acc: 0.984
Epoch: 13, Train Loss: 0.032, Train Acc: 0.989
Epoch: 13, Valid Loss: 0.046, Valid Acc: 0.986
Epoch: 14, Train Loss: 0.031, Train Acc: 0.990
Epoch: 14, Valid Loss: 0.054, Valid Acc: 0.985
Epoch: 15, Train Loss: 0.031, Train Acc: 0.990
Epoch: 15, Valid Loss: 0.044, Valid Acc: 0.988
Epoch: 16, Train Loss: 0.029, Train Acc: 0.990
Epoch: 16, Valid Loss: 0.039, Valid Acc: 0.988
Epoch: 17, Train Loss: 0.026, Train Acc: 0.991
Epoch: 17, Valid Loss: 0.043, Valid Acc: 0.986
Epoch: 18, Train Loss: 0.029, Train Acc: 0.991
Epoch: 18, Valid Loss: 0.054, Valid Acc: 0.985
Epoch: 19, Train Loss: 0.026, Train Acc: 0.991
Epoch: 19, Valid Loss: 0.045, Valid Acc: 0.987
Epoch: 20, Train Loss: 0.027, Train Acc: 0.991
Epoch: 20, Valid Loss: 0.045, Valid Acc: 0.987
valid acc:  0.9869
Run Params: {'lr': 0.229101, 'batch_size': 296}
Epoch: 1, Train Loss: 7.395, Train Acc: 0.105
Epoch: 1, Valid Loss: 2.319, Valid Acc: 0.114
Epoch: 2, Train Loss: 2.312, Train Acc: 0.104
Epoch: 2, Valid Loss: 2.323, Valid Acc: 0.103
Epoch: 3, Train Loss: 2.312, Train Acc: 0.104
Epoch: 3, Valid Loss: 2.319, Valid Acc: 0.114
valid acc:  0.1135
Run Params: {'lr': 0.000589, 'batch_size': 496}
Epoch: 1, Train Loss: 0.555, Train Acc: 0.834
Epoch: 1, Valid Loss: 0.192, Valid Acc: 0.948
Epoch: 2, Train Loss: 0.156, Train Acc: 0.954
Epoch: 2, Valid Loss: 0.120, Valid Acc: 0.965
Epoch: 3, Train Loss: 0.109, Train Acc: 0.966
Epoch: 3, Valid Loss: 0.089, Valid Acc: 0.974
Epoch: 4, Train Loss: 0.089, Train Acc: 0.973
Epoch: 4, Valid Loss: 0.076, Valid Acc: 0.978
Epoch: 5, Train Loss: 0.077, Train Acc: 0.976
Epoch: 5, Valid Loss: 0.069, Valid Acc: 0.979
Epoch: 6, Train Loss: 0.068, Train Acc: 0.979
Epoch: 6, Valid Loss: 0.063, Valid Acc: 0.980
Epoch: 7, Train Loss: 0.063, Train Acc: 0.981
Epoch: 7, Valid Loss: 0.058, Valid Acc: 0.982
Epoch: 8, Train Loss: 0.058, Train Acc: 0.982
Epoch: 8, Valid Loss: 0.053, Valid Acc: 0.982
Epoch: 9, Train Loss: 0.054, Train Acc: 0.984
Epoch: 9, Valid Loss: 0.050, Valid Acc: 0.984
Epoch: 10, Train Loss: 0.052, Train Acc: 0.985
Epoch: 10, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.049, Train Acc: 0.985
Epoch: 11, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 12, Train Loss: 0.045, Train Acc: 0.986
Epoch: 12, Valid Loss: 0.048, Valid Acc: 0.987
Epoch: 13, Train Loss: 0.045, Train Acc: 0.986
Epoch: 13, Valid Loss: 0.049, Valid Acc: 0.985
Epoch: 14, Train Loss: 0.043, Train Acc: 0.987
Epoch: 14, Valid Loss: 0.044, Valid Acc: 0.986
Epoch: 15, Train Loss: 0.040, Train Acc: 0.987
Epoch: 15, Valid Loss: 0.042, Valid Acc: 0.986
Epoch: 16, Train Loss: 0.039, Train Acc: 0.988
Epoch: 16, Valid Loss: 0.045, Valid Acc: 0.987
Epoch: 17, Train Loss: 0.036, Train Acc: 0.989
