Epoch: 10, Valid Loss: 0.069, Valid Acc: 0.979
Epoch: 11, Train Loss: 0.063, Train Acc: 0.981
Epoch: 11, Valid Loss: 0.059, Valid Acc: 0.983
Epoch: 12, Train Loss: 0.062, Train Acc: 0.981
Epoch: 12, Valid Loss: 0.066, Valid Acc: 0.980
Epoch: 13, Train Loss: 0.059, Train Acc: 0.982
Epoch: 13, Valid Loss: 0.061, Valid Acc: 0.982
Epoch: 14, Train Loss: 0.056, Train Acc: 0.983
Epoch: 14, Valid Loss: 0.058, Valid Acc: 0.983
Epoch: 15, Train Loss: 0.058, Train Acc: 0.983
Epoch: 15, Valid Loss: 0.057, Valid Acc: 0.983
valid acc:  0.9826
Run Params: {'lr': 4.5e-05, 'batch_size': 1151}
Epoch: 1, Train Loss: 2.213, Train Acc: 0.247
Epoch: 1, Valid Loss: 2.066, Valid Acc: 0.427
Epoch: 2, Train Loss: 1.820, Train Acc: 0.539
Epoch: 2, Valid Loss: 1.605, Valid Acc: 0.639
Epoch: 3, Train Loss: 1.360, Train Acc: 0.683
Epoch: 3, Valid Loss: 1.155, Valid Acc: 0.728
Epoch: 4, Train Loss: 0.992, Train Acc: 0.754
Epoch: 4, Valid Loss: 0.859, Valid Acc: 0.789
Epoch: 5, Train Loss: 0.773, Train Acc: 0.797
Epoch: 5, Valid Loss: 0.681, Valid Acc: 0.819
Epoch: 6, Train Loss: 0.638, Train Acc: 0.827
Epoch: 6, Valid Loss: 0.578, Valid Acc: 0.850
Epoch: 7, Train Loss: 0.545, Train Acc: 0.850
Epoch: 7, Valid Loss: 0.501, Valid Acc: 0.864
Epoch: 8, Train Loss: 0.483, Train Acc: 0.863
Epoch: 8, Valid Loss: 0.443, Valid Acc: 0.883
Epoch: 9, Train Loss: 0.434, Train Acc: 0.877
Epoch: 9, Valid Loss: 0.399, Valid Acc: 0.892
Epoch: 10, Train Loss: 0.395, Train Acc: 0.889
Epoch: 10, Valid Loss: 0.366, Valid Acc: 0.899
Epoch: 11, Train Loss: 0.365, Train Acc: 0.897
Epoch: 11, Valid Loss: 0.341, Valid Acc: 0.904
Epoch: 12, Train Loss: 0.337, Train Acc: 0.904
Epoch: 12, Valid Loss: 0.317, Valid Acc: 0.911
Epoch: 13, Train Loss: 0.314, Train Acc: 0.910
Epoch: 13, Valid Loss: 0.295, Valid Acc: 0.918
Epoch: 14, Train Loss: 0.296, Train Acc: 0.914
Epoch: 14, Valid Loss: 0.273, Valid Acc: 0.923
Epoch: 15, Train Loss: 0.283, Train Acc: 0.920
Epoch: 15, Valid Loss: 0.261, Valid Acc: 0.929
valid acc:  0.9291
Run Params: {'lr': 0.000856, 'batch_size': 1788}
Epoch: 1, Train Loss: 1.025, Train Acc: 0.701
Epoch: 1, Valid Loss: 0.391, Valid Acc: 0.888
Epoch: 2, Train Loss: 0.290, Train Acc: 0.914
Epoch: 2, Valid Loss: 0.210, Valid Acc: 0.944
Epoch: 3, Train Loss: 0.182, Train Acc: 0.947
Epoch: 3, Valid Loss: 0.154, Valid Acc: 0.960
Epoch: 4, Train Loss: 0.142, Train Acc: 0.958
Epoch: 4, Valid Loss: 0.128, Valid Acc: 0.966
Epoch: 5, Train Loss: 0.118, Train Acc: 0.965
Epoch: 5, Valid Loss: 0.102, Valid Acc: 0.970
Epoch: 6, Train Loss: 0.103, Train Acc: 0.970
Epoch: 6, Valid Loss: 0.095, Valid Acc: 0.973
Epoch: 7, Train Loss: 0.091, Train Acc: 0.973
Epoch: 7, Valid Loss: 0.086, Valid Acc: 0.974
Epoch: 8, Train Loss: 0.084, Train Acc: 0.974
Epoch: 8, Valid Loss: 0.076, Valid Acc: 0.977
Epoch: 9, Train Loss: 0.079, Train Acc: 0.977
Epoch: 9, Valid Loss: 0.074, Valid Acc: 0.978
Epoch: 10, Train Loss: 0.074, Train Acc: 0.978
Epoch: 10, Valid Loss: 0.066, Valid Acc: 0.980
Epoch: 11, Train Loss: 0.066, Train Acc: 0.980
Epoch: 11, Valid Loss: 0.064, Valid Acc: 0.980
Epoch: 12, Train Loss: 0.065, Train Acc: 0.980
Epoch: 12, Valid Loss: 0.060, Valid Acc: 0.983
Epoch: 13, Train Loss: 0.061, Train Acc: 0.982
Epoch: 13, Valid Loss: 0.062, Valid Acc: 0.981
Epoch: 14, Train Loss: 0.058, Train Acc: 0.983
Epoch: 14, Valid Loss: 0.057, Valid Acc: 0.982
Epoch: 15, Train Loss: 0.056, Train Acc: 0.984
Epoch: 15, Valid Loss: 0.056, Valid Acc: 0.982
valid acc:  0.9824
Run Params: {'lr': 0.000505, 'batch_size': 719}
Epoch: 1, Train Loss: 0.715, Train Acc: 0.794
Epoch: 1, Valid Loss: 0.239, Valid Acc: 0.932
Epoch: 2, Train Loss: 0.197, Train Acc: 0.942
Epoch: 2, Valid Loss: 0.143, Valid Acc: 0.957
Epoch: 3, Train Loss: 0.137, Train Acc: 0.960
Epoch: 3, Valid Loss: 0.112, Valid Acc: 0.965
Epoch: 4, Train Loss: 0.110, Train Acc: 0.968
Epoch: 4, Valid Loss: 0.091, Valid Acc: 0.973
Epoch: 5, Train Loss: 0.097, Train Acc: 0.971
Epoch: 5, Valid Loss: 0.079, Valid Acc: 0.976
Epoch: 6, Train Loss: 0.083, Train Acc: 0.975
Epoch: 6, Valid Loss: 0.070, Valid Acc: 0.979
Epoch: 7, Train Loss: 0.075, Train Acc: 0.976
Epoch: 7, Valid Loss: 0.067, Valid Acc: 0.980
Epoch: 8, Train Loss: 0.069, Train Acc: 0.979
Epoch: 8, Valid Loss: 0.061, Valid Acc: 0.982
Epoch: 9, Train Loss: 0.065, Train Acc: 0.980
Epoch: 9, Valid Loss: 0.056, Valid Acc: 0.982
Epoch: 10, Train Loss: 0.062, Train Acc: 0.982
Epoch: 10, Valid Loss: 0.056, Valid Acc: 0.981
Epoch: 11, Train Loss: 0.059, Train Acc: 0.982
